,dir,idx,psnr,ssim,time,score
0,0001_001_S6_00100_00060_3200_L,0,57.81649,0.99847,4.45min,94.02430666666667
1,0001_001_S6_00100_00060_3200_L,1,57.72315,0.99845,4.43min,93.77339999999998
2,0002_001_S6_00100_00020_3200_N,0,49.08475,0.99466,4.37min,70.35866666666666
3,0002_001_S6_00100_00020_3200_N,1,49.2339,0.99481,4.34min,70.7714
4,0003_001_S6_00100_00060_3200_H,0,41.07094,0.97786,4.33min,47.30850666666665
5,0003_001_S6_00100_00060_3200_H,1,41.1063,0.97803,4.32min,47.41979999999998
6,0004_001_S6_00100_00060_4400_L,0,53.51308,0.99709,4.33min,82.41054666666668
7,0004_001_S6_00100_00060_4400_L,1,51.99328,0.9972,4.34min,78.36874666666665
8,0005_001_S6_00100_00060_4400_N,0,45.95779,0.98804,4.34min,61.35810666666668
9,0005_001_S6_00100_00060_4400_N,1,45.96541,0.98805,4.35min,61.37942666666666
10,0006_001_S6_00100_00060_4400_H,0,38.08894,0.97843,4.35min,39.41350666666666
11,0006_001_S6_00100_00060_4400_H,1,38.10581,0.97811,4.35min,39.426493333333326
12,0007_001_S6_00100_00100_5500_L,0,55.42823,0.99824,4.35min,87.63261333333334
13,0007_001_S6_00100_00100_5500_L,1,55.59278,0.99827,4.35min,88.07441333333333
14,0008_001_S6_00100_00100_5500_N,0,44.77266,0.98845,4.34min,58.23876000000001
15,0008_001_S6_00100_00100_5500_N,1,44.69253,0.98838,4.35min,58.01808
16,0010_001_S6_00800_00350_3200_N,0,38.35171,0.97512,4.34min,39.78322666666666
17,0010_001_S6_00800_00350_3200_N,1,38.72502,0.9757,4.34min,40.83672
18,0011_001_S6_00800_00500_5500_L,0,46.74059,0.98862,4.34min,63.50357333333333
19,0011_001_S6_00800_00500_5500_L,1,46.67204,0.98868,4.34min,63.32677333333334
20,0012_001_S6_00800_00500_5500_N,0,38.51835,0.97112,4.34min,39.82759999999999
21,0012_001_S6_00800_00500_5500_N,1,38.8149,0.97266,4.34min,40.7724
22,0013_001_S6_03200_01250_3200_L,0,42.20293,0.9603,4.35min,48.57114666666668
23,0013_001_S6_03200_01250_3200_L,1,42.18493,0.96012,4.43min,48.50514666666667
24,0014_001_S6_03200_01250_3200_N,0,32.63536,0.93205,4.38min,20.232626666666665
25,0014_001_S6_03200_01250_3200_N,1,33.03835,0.93123,4.34min,21.225266666666663
26,0015_001_S6_03200_01600_5500_L,0,40.98444,0.9707,4.33min,46.361839999999994
27,0015_001_S6_03200_01600_5500_L,1,41.14308,0.97095,4.33min,46.809879999999986
28,0016_001_S6_03200_01600_5500_N,0,32.72084,0.93128,4.33min,20.383573333333334
29,0016_001_S6_03200_01600_5500_N,1,32.77972,0.93161,4.33min,20.57358666666666
30,0017_001_GP_00100_00060_5500_N,0,43.91236,0.98874,3.34min,55.973626666666654
31,0017_001_GP_00100_00060_5500_N,1,44.13246,0.98892,3.35min,56.57856000000001
32,0018_001_GP_00100_00160_5500_L,0,61.56392,0.99867,3.35min,104.03745333333335
33,0018_001_GP_00100_00160_5500_L,1,61.74963,0.99867,3.35min,104.53268
34,0019_001_GP_00800_00640_5500_L,0,54.18953,0.99648,3.35min,84.15341333333333
35,0019_001_GP_00800_00640_5500_L,1,54.05422,0.99648,3.35min,83.79258666666666
36,0020_001_GP_00800_00350_5500_N,0,40.16464,0.96334,3.35min,43.43970666666665
37,0020_001_GP_00800_00350_5500_N,1,40.15314,0.96162,3.35min,43.23704
38,0022_001_N6_00100_00060_5500_N,0,46.78123,0.99292,3.56min,64.04194666666668
39,0022_001_N6_00100_00060_5500_N,1,47.22838,0.99326,3.56min,65.26834666666667
40,0023_001_N6_00800_00350_5500_N,0,43.43353,0.9825,3.56min,54.07274666666666
41,0023_001_N6_00800_00350_5500_N,1,42.81136,0.98174,3.56min,52.33762666666666
42,0025_001_G4_00100_00060_5500_L,0,55.19735,0.99853,4.32min,87.04593333333334
43,0025_001_G4_00100_00060_5500_L,1,55.3477,0.99858,4.31min,87.45186666666667
44,0027_001_G4_00800_00350_5500_L,0,50.0646,0.99364,4.30min,72.8696
45,0027_001_G4_00800_00350_5500_L,1,49.11161,0.99337,4.31min,70.30129333333332
46,0028_001_IP_00100_00160_5500_N,0,57.92828,0.99818,3.30min,94.29341333333333
47,0028_001_IP_00100_00160_5500_N,1,58.13352,0.9982,3.30min,94.84271999999999
